id,dim1,dim2,cid
49,3.0331,7.9156,0
74,3.019,8.0849,0
151,3.8269,8.5119,0
152,3.6466,9.6658,0
153,3.5646,8.2318,0
154,3.9648,7.9713,0
155,4.1001,9.142,0
156,3.9085,8.0268,0
157,3.6836,9.4301,0
158,3.3332,8.9874,0
159,3.8381,7.1385,0
160,3.9603,7.8632,0
161,3.7487,9.2294,0
162,3.7389,8.6198,0
163,3.9839,8.0707,0
164,3.7411,8.5094,0
165,3.7567,9.4553,0
166,3.8151,7.7715,0
167,4.1777,8.8121,0
168,3.8343,8.6491,0
169,3.8882,7.8426,0
170,3.6474,7.5888,0
171,4.0124,7.731,0
172,4.2381,8.705,0
173,3.6997,9.3655,0
174,3.6981,8.652,0
175,3.8636,8.8238,0
176,3.8635,7.5849,0
177,3.8372,9.778,0
178,4.0667,9.3119,0
179,3.9468,8.5188,0
180,4.0107,8.8463,0
181,3.7101,10.08,0
182,3.4816,10.1863,0
183,4.0905,7.8985,0
184,3.5831,8.8868,0
185,3.8107,9.5629,0
186,3.7121,10.5411,0
187,3.7986,8.2594,0
188,3.7142,9.2885,0
189,4.1371,9.4264,0
190,3.9485,8.2409,0
191,3.8426,8.9029,0
192,4.1539,8.2282,0
193,3.4636,9.4779,0
194,3.8723,7.981,0
195,3.7048,9.5019,0
196,3.7422,9.6754,0
197,4.1358,9.7151,0
198,3.6515,7.872,0
199,3.4983,8.8497,0
200,3.6867,7.1469,0
201,3.9512,8.3097,0
202,3.7181,8.5532,0
203,3.8471,9.3882,0
204,3.7094,8.6572,0
205,3.5941,9.0483,0
206,3.8714,9.1456,0
207,3.8855,8.4739,0
208,3.7744,8.3726,0
209,3.4094,9.0921,0
210,3.7905,9.2914,0
211,3.6012,8.9731,0
212,3.8946,9.3166,0
213,4.0074,8.709,0
214,3.7573,8.4119,0
215,3.6293,8.0472,0
216,4.0167,8.7009,0
217,3.4192,8.3178,0
218,4.3386,8.3503,0
219,3.7099,8.0933,0
220,3.6262,7.9572,0
221,4.0156,7.7637,0
222,3.4988,7.6269,0
223,3.6991,7.6416,0
224,3.4715,7.9449,0
225,3.9523,8.9627,0
226,4.148,10.3708,0
227,3.2622,8.2211,0
228,3.7462,9.8838,0
229,4.1728,8.2573,0
230,4.2379,8.5077,0
231,3.9868,8.1102,0
232,4.3212,8.7925,0
233,3.868,8.9806,0
234,4.1102,10.0369,0
235,3.954,8.5578,0
236,4.0519,8.5603,0
237,4.5164,7.9947,0
238,4.5902,9.2322,0
239,3.8578,8.2969,0
240,4.207,7.2557,0
241,4.0677,8.6393,0
242,4.0248,9.4236,0
243,3.7567,7.3182,0
244,4.0914,7.8001,0
245,4.1549,10.1641,0
246,3.7021,7.665,0
247,3.8462,9.5316,0
248,4.4034,7.0982,0
249,4.0478,8.9238,0
250,4.4487,8.1055,0
251,3.6345,9.1857,0
252,3.9289,8.4737,0
253,3.961,8.0325,0
254,4.2311,8.7249,0
255,3.756,8.0684,0
256,4.2308,8.448,0
257,4.0974,8.3769,0
258,4.0008,8.1607,0
259,4.2699,9.5232,0
260,4.7067,8.7523,0
261,4.2821,9.5736,0
262,4.0634,8.8294,0
263,4.6369,8.8251,0
264,4.3501,8.8033,0
265,3.5999,8.4933,0
266,4.1743,8.7384,0
267,4.1137,8.3904,0
268,3.59,8.7262,0
269,4.0897,9.1112,0
270,3.953,8.4421,0
271,3.8988,8.4267,0
272,4.8197,7.3123,0
273,4.0587,8.9532,0
274,4.2067,8.5799,0
275,3.2325,8.9999,0
276,4.2817,8.7517,0
277,3.9772,9.1909,0
278,3.7931,8.4355,0
279,3.6292,9.4031,0
280,4.0193,9.5512,0
281,3.4184,8.5981,0
282,3.9602,7.7645,0
283,3.9027,8.8446,0
284,4.1248,8.4392,0
285,3.7571,8.7125,0
286,5.0462,8.3887,0
287,4.2582,8.9756,0
288,4.4131,8.4114,0
289,3.8622,8.7967,0
290,3.9436,7.1758,0
291,3.4064,8.7509,0
292,3.9053,7.7384,0
293,4.2335,8.8016,0
294,4.5283,8.6544,0
295,3.9144,7.7055,0
296,3.8066,8.69,0
297,4.0403,9.8557,0
298,3.8785,9.3454,0
299,3.81,8.0749,0
300,3.7837,9.605,0
