id,dim1,dim2,cid
1,2.5768,9.0618,2
2,2.3579,6.9804,2
3,2.6763,10.0365,2
4,2.0836,8.953,2
5,2.3881,9.8873,2
6,2.399,8.8879,2
7,2.6412,8.0403,2
8,2.4506,8.485,2
9,2.4379,9.3027,2
10,2.5088,8.5573,2
11,2.2027,8.9585,2
12,2.4997,7.5445,2
13,2.4903,8.2466,2
14,2.572,10.07,2
15,2.537,9.4809,2
16,2.7217,8.6849,2
17,2.353,9.374,2
18,2.4251,8.594,2
19,2.9381,9.1101,2
20,2.5654,9.955,2
21,2.885,8.3289,2
22,2.8757,9.2987,2
23,2.7021,7.3124,2
24,2.3661,8.4641,2
25,2.5327,8.685,2
26,2.5697,9.7412,2
27,2.116,9.5041,2
28,2.563,9.6613,2
29,2.3767,9.9083,2
30,2.3958,8.8109,2
31,2.9981,8.2722,2
32,2.8723,9.0407,2
33,2.2675,9.4834,2
34,2.3432,7.7247,2
35,2.4442,7.6393,2
36,2.5689,7.9858,2
37,2.6088,8.2216,2
38,2.3737,8.5179,2
39,2.3327,8.6005,2
40,2.3841,8.8339,2
41,2.6106,9.627,2
42,2.7396,8.5775,2
43,2.2242,7.9284,2
44,2.4974,9.7596,2
45,2.3301,7.6976,2
46,2.7503,9.1776,2
47,2.1665,9.1623,2
48,2.4354,9.8055,2
49,3.0331,7.9156,0
50,2.8619,7.7786,2
51,2.2834,9.6945,2
52,2.2432,10.0873,2
53,2.2299,8.5547,2
54,2.1684,8.0477,2
55,2.3858,7.9722,2
56,2.1546,7.9745,2
57,2.4697,8.2451,2
58,2.5196,8.7246,2
59,2.8111,8.1889,2
60,2.4559,10.0163,2
61,2.2919,8.113,2
62,2.4668,8.3854,2
63,2.6209,8.8233,2
64,2.0479,8.4329,2
65,2.4169,8.3656,2
66,2.3918,8.6841,2
67,2.5929,7.7651,2
68,2.2356,8.2743,2
69,2.5976,9.0832,2
70,2.3788,9.6753,2
71,2.3831,8.6183,2
72,2.7324,8.4923,2
73,2.0173,8.7018,2
74,3.019,8.0849,0
75,2.8118,7.1934,2
76,1.8604,8.9104,2
77,2.5237,9.3818,2
78,2.0912,8.0467,2
79,1.6934,8.4709,2
80,2.2375,8.9808,2
81,1.894,8.7325,2
82,1.7335,9.3393,2
83,2.0973,8.9272,2
84,1.866,8.0564,2
85,1.8957,8.8203,2
86,2.1973,9.5554,2
87,2.4257,9.5597,2
88,2.0508,7.433,2
89,1.7435,8.993,2
90,2.2787,8.5969,2
91,1.8187,9.1825,2
92,2.2617,8.942,2
93,1.9408,8.8933,2
94,2.2627,7.6312,2
95,2.252,8.3745,2
96,1.8953,8.0496,2
97,2.0659,8.6348,2
98,1.6385,10.1772,2
99,2.0856,9.1877,2
100,1.8956,7.8657,2
101,1.9339,9.0702,2
102,2.1812,8.5717,2
103,2.2363,8.7754,2
104,2.5411,8.3402,2
105,2.2626,8.7653,2
106,1.8413,8.4607,2
107,2.1818,9.8123,2
108,1.8802,7.8282,2
109,1.994,8.7141,2
110,1.9333,8.526,2
111,2.8246,9.2441,2
112,1.9387,8.7325,2
113,1.9884,9.6649,2
114,1.7526,9.0354,2
115,1.5326,9.1375,2
116,2.1179,8.523,2
117,1.8309,8.8615,2
118,2.666,8.5108,2
119,1.5282,8.9548,2
120,2.3854,8.5158,2
121,2.6879,9.3294,2
122,1.3862,8.2391,2
123,1.6114,9.2991,2
124,2.1287,8.1764,2
125,1.6452,8.9312,2
126,1.6382,8.5349,2
127,1.6025,9.662,2
128,2.1511,8.5969,2
129,1.9925,9.2535,2
130,1.7313,9.3018,2
131,2.1551,9.4363,2
132,1.8344,8.6672,2
133,2.3142,8.4555,2
134,1.9648,8.304,2
135,1.8923,7.9999,2
136,1.8467,9.3038,2
137,2.0802,8.667,2
138,1.9333,8.7993,2
139,1.3956,9.3691,2
140,1.6691,8.5327,2
141,1.8994,8.1354,2
142,1.7919,9.4793,2
143,2.0042,8.1565,2
144,2.1644,8.5088,2
145,2.1478,9.6568,2
146,2.2866,8.7386,2
147,1.6283,8.6026,2
148,2.2664,8.3274,2
149,2.1235,9.0841,2
150,1.3162,9.3346,2
151,3.8269,8.5119,0
152,3.6466,9.6658,0
153,3.5646,8.2318,0
154,3.9648,7.9713,0
155,4.1001,9.142,0
156,3.9085,8.0268,0
157,3.6836,9.4301,0
158,3.3332,8.9874,0
159,3.8381,7.1385,0
160,3.9603,7.8632,0
161,3.7487,9.2294,0
162,3.7389,8.6198,0
163,3.9839,8.0707,0
164,3.7411,8.5094,0
165,3.7567,9.4553,0
166,3.8151,7.7715,0
167,4.1777,8.8121,0
168,3.8343,8.6491,0
169,3.8882,7.8426,0
170,3.6474,7.5888,0
171,4.0124,7.731,0
172,4.2381,8.705,0
173,3.6997,9.3655,0
174,3.6981,8.652,0
175,3.8636,8.8238,0
176,3.8635,7.5849,0
177,3.8372,9.778,0
178,4.0667,9.3119,0
179,3.9468,8.5188,0
180,4.0107,8.8463,0
181,3.7101,10.08,0
182,3.4816,10.1863,0
183,4.0905,7.8985,0
184,3.5831,8.8868,0
185,3.8107,9.5629,0
186,3.7121,10.5411,0
187,3.7986,8.2594,0
188,3.7142,9.2885,0
189,4.1371,9.4264,0
190,3.9485,8.2409,0
191,3.8426,8.9029,0
192,4.1539,8.2282,0
193,3.4636,9.4779,0
194,3.8723,7.981,0
195,3.7048,9.5019,0
196,3.7422,9.6754,0
197,4.1358,9.7151,0
198,3.6515,7.872,0
199,3.4983,8.8497,0
200,3.6867,7.1469,0
201,3.9512,8.3097,0
202,3.7181,8.5532,0
203,3.8471,9.3882,0
204,3.7094,8.6572,0
205,3.5941,9.0483,0
206,3.8714,9.1456,0
207,3.8855,8.4739,0
208,3.7744,8.3726,0
209,3.4094,9.0921,0
210,3.7905,9.2914,0
211,3.6012,8.9731,0
212,3.8946,9.3166,0
213,4.0074,8.709,0
214,3.7573,8.4119,0
215,3.6293,8.0472,0
216,4.0167,8.7009,0
217,3.4192,8.3178,0
218,4.3386,8.3503,0
219,3.7099,8.0933,0
220,3.6262,7.9572,0
221,4.0156,7.7637,0
222,3.4988,7.6269,0
223,3.6991,7.6416,0
224,3.4715,7.9449,0
225,3.9523,8.9627,0
226,4.148,10.3708,0
227,3.2622,8.2211,0
228,3.7462,9.8838,0
229,4.1728,8.2573,0
230,4.2379,8.5077,0
231,3.9868,8.1102,0
232,4.3212,8.7925,0
233,3.868,8.9806,0
234,4.1102,10.0369,0
235,3.954,8.5578,0
236,4.0519,8.5603,0
237,4.5164,7.9947,0
238,4.5902,9.2322,0
239,3.8578,8.2969,0
240,4.207,7.2557,0
241,4.0677,8.6393,0
242,4.0248,9.4236,0
243,3.7567,7.3182,0
244,4.0914,7.8001,0
245,4.1549,10.1641,0
246,3.7021,7.665,0
247,3.8462,9.5316,0
248,4.4034,7.0982,0
249,4.0478,8.9238,0
250,4.4487,8.1055,0
251,3.6345,9.1857,0
252,3.9289,8.4737,0
253,3.961,8.0325,0
254,4.2311,8.7249,0
255,3.756,8.0684,0
256,4.2308,8.448,0
257,4.0974,8.3769,0
258,4.0008,8.1607,0
259,4.2699,9.5232,0
260,4.7067,8.7523,0
261,4.2821,9.5736,0
262,4.0634,8.8294,0
263,4.6369,8.8251,0
264,4.3501,8.8033,0
265,3.5999,8.4933,0
266,4.1743,8.7384,0
267,4.1137,8.3904,0
268,3.59,8.7262,0
269,4.0897,9.1112,0
270,3.953,8.4421,0
271,3.8988,8.4267,0
272,4.8197,7.3123,0
273,4.0587,8.9532,0
274,4.2067,8.5799,0
275,3.2325,8.9999,0
276,4.2817,8.7517,0
277,3.9772,9.1909,0
278,3.7931,8.4355,0
279,3.6292,9.4031,0
280,4.0193,9.5512,0
281,3.4184,8.5981,0
282,3.9602,7.7645,0
283,3.9027,8.8446,0
284,4.1248,8.4392,0
285,3.7571,8.7125,0
286,5.0462,8.3887,0
287,4.2582,8.9756,0
288,4.4131,8.4114,0
289,3.8622,8.7967,0
290,3.9436,7.1758,0
291,3.4064,8.7509,0
292,3.9053,7.7384,0
293,4.2335,8.8016,0
294,4.5283,8.6544,0
295,3.9144,7.7055,0
296,3.8066,8.69,0
297,4.0403,9.8557,0
298,3.8785,9.3454,0
299,3.81,8.0749,0
300,3.7837,9.605,0
301,2.4989,2.3971,1
302,2.2998,2.7139,1
303,4.2408,2.7082,1
304,4.2354,2.416,1
305,3.887,1.5749,1
306,2.6348,2.6471,1
307,3.932,2.3424,1
308,3.5126,2.4171,1
309,2.4929,1.7508,1
310,4.0141,1.8111,1
311,2.8211,1.7838,1
312,2.767,2.0914,1
313,3.341,2.6373,1
314,2.7506,2.7994,1
315,1.6423,2.1026,1
316,3.5327,2.5956,1
317,2.7504,2.6096,1
318,2.7778,2.0961,1
319,3.3907,3.0927,1
320,1.545,2.0607,1
321,2.5923,2.6428,1
322,1.8894,1.0948,1
323,2.4616,2.1052,1
324,2.4773,1.668,1
325,2.5629,2.6353,1
326,3.5745,2.8617,1
327,2.6732,2.269,1
328,3.5655,2.785,1
329,3.1751,2.2869,1
330,4.0004,1.45,1
331,4.4731,1.8137,1
332,2.7459,2.9176,1
333,2.1687,2.4351,1
334,1.8142,2.7247,1
335,3.082,2.4679,1
336,4.6111,1.6096,1
337,3.9787,2.7964,1
338,3.1046,3.0561,1
339,2.5099,3.1686,1
340,2.4269,1.9845,1
341,2.6434,2.7165,1
342,2.9035,2.4327,1
343,4.3832,1.8691,1
344,2.5373,1.8625,1
