id,Dim1,Dim2
1,-14.519,9.788
2,-12.362,9.497
3,-6.581,3.247
4,-12.353,1.947
5,-14.443,4.217
6,-18.866,4.795
7,-10.632,4.844
8,-5.944,-5.779
9,-5.842,-3.82
10,-18.043,7.843
11,-5.172,4.211
12,-6.179,-5.641
13,-2.625,4.918
14,-19.987,3.545
15,-7.389,3.163
16,-15.064,2.892
17,-6.827,9.481
18,-12.991,6.489
19,-20.698,-1.465
20,-8.429,-2.332
21,-24.995,4.288
22,-14.151,-1.975
23,-19.324,9.463
24,-15.899,1.123
25,-12.315,8.783
26,-10.753,10.526
27,-10.938,5.399
28,-10.707,13.673
29,-3.83,-1.072
30,-8.108,-1.271
31,-7.619,-7.205
32,-8.486,-3.935
33,-12.208,-6.809
34,-15.219,1.441
35,-4.916,-1.693
36,-10.978,4.261
37,-11.991,3.417
38,-11.254,6.836
39,-18.968,-3.826
40,-1.723,0.237
41,-16.542,9.933
42,-2.548,6.255
43,-2.613,8.476
44,-6.143,12.237
45,-13.894,-3.971
46,-24.694,-1.211
47,-16.214,1.494
48,-7.108,-6.758
49,-15.797,1.726
50,-15.95,5.709
51,-15.471,10.605
52,-14.77,0.843
53,-4.298,8.843
54,-10.846,-0.345
55,-20.115,3.202
56,-17.631,6.164
57,-8.175,8.374
58,-2.358,-0.041
59,-4.391,-4.279
60,-11.061,2.178
61,-11.102,5.311
62,-10.758,10.086
63,-0.996,9.241
64,-8.339,2.071
65,-10.143,5.863
66,-13.214,-5.951
67,-20.458,6.954
68,-13.382,7.295
69,-7.204,12.47
70,-11.391,-3.036
71,-10.123,-0.467
72,-18.764,6.543
73,-8.078,2.474
74,-13.487,-2.132
75,-11.826,8.137
76,-17.987,10.497
77,-11.177,-0.044
78,-10.903,4.511
79,-11.996,10.391
80,-15.519,12.509
81,-10.062,1.626
82,-13.352,2.189
83,-1.018,-0.21
84,-5.033,0.573
85,-12.878,4.023
86,-12.529,7.054
87,-11.299,-5.461
88,-8.228,8.12
89,-6.893,-0.912
90,-9.498,4.99
91,-17.022,7.041
92,-9.229,6.987
93,-7.114,15.311
94,-11.687,-0.834
95,-2.506,-4.38
96,-18.089,6.52
97,-7.163,8.082
98,-4.866,-0.368
99,-15.992,13.067
100,-13.388,-4.484
101,-16.722,-0.642
102,-6.325,3.264
103,-3.924,9.136
104,-6.413,14.505
105,-7.509,-1.197
106,-2.857,4.583
107,-15.981,1.845
108,-13.498,4.232
109,-9.608,2.54
110,-8.794,8.918
111,-11.359,9.509
112,1.888,4.118
113,-10.806,0.772
114,-10.14,9.483
115,-12.231,0.964
116,-4.159,4.445
117,-5.745,1.714
118,-10.274,5.118
119,-10.347,1.461
120,-7.884,11.01
121,-7.798,2.467
122,-11.698,8.182
123,-10.456,4.461
124,-2.554,6.075
125,-19.794,8.221
126,-23.138,7.49
127,-12.245,4.227
128,-4.05,4.831
129,0.508,0.875
130,-14.026,5.718
131,-12.822,5.602
132,-10.88,2.182
133,-8.454,4.698
134,-16.635,7.213
135,-9.508,3.695
136,-0.647,-4.417
137,-13.627,4.857
138,-2.459,-2.453
139,-16.796,1.798
140,-7.076,1.88
141,-17.345,0.057
142,-12.36,2.634
143,-5.93,2.641
144,-6.185,2.223
145,-12.288,2.053
146,-3.254,8.266
147,-9.457,2.85
148,-17.633,4.269
149,-13.127,2.429
150,-10.779,7.988
151,-17.53,3.535
152,-4.326,6.642
153,-10.291,7.032
154,-8.896,1.564
155,-7.36,2.641
156,-1.155,6.04
157,-4.039,8.463
158,-11.021,5.161
159,-8.525,6.925
160,-12.907,9.32
161,-18.775,5.978
162,-16.234,8.884
163,-5.551,4.079
164,-11.801,4.359
165,-17.117,8.384
166,-7.694,-3.359
167,-6.436,-5.298
168,-13.566,0.627
169,-13.505,8.135
170,-8.383,4.477
171,-11.301,6.924
172,-13.559,8.218
173,-6.436,5.431
174,-12.823,6.85
175,-7.747,-0.139
176,-13.056,5.278
177,-10.551,4.818
178,-7.722,3.853
179,-2.915,11.341
180,-8.035,4.02
181,-16.595,-6.327
182,-10.838,4.006
183,-9.757,0.278
184,-21.758,-0.082
185,-15.961,0.749
186,-7.125,0.175
187,-10.836,0.586
188,-7.379,-1.981
189,-11.295,-2.966
190,0.815,7.503
191,-5.841,5.797
192,-10.487,9.334
193,-7.526,1.753
194,-11.406,11.525
195,-18.581,3.249
196,-15.8,1.474
197,-12.145,11.709
198,-6.489,6.422
199,-12.978,-7.891
200,-9.938,2.253
201,28.357,6.382
202,31.959,7.761
203,27.375,6.523
204,19.767,17.794
205,21.699,17.421
206,26.157,18.494
207,26.488,12.192
208,31.523,7.967
209,16.022,15.24
210,31.662,7.562
211,21.389,12.973
212,27.214,7.582
213,30.876,19.923
214,31.794,9.737
215,27.678,11.777
216,25.711,6.682
217,19.584,7.886
218,14.099,5.474
219,30.838,6.398
220,21.392,5.228
221,25.848,19.845
222,19.155,10.872
223,16.113,13.38
224,23.336,14.945
225,20.45,11.539
226,27.158,14.303
227,31.949,4.705
228,19.436,9.882
229,29.534,13.1
230,25.958,10.658
231,33.246,14.383
232,19.063,7.752
233,25.39,3.199
234,27.422,14.995
235,18.987,2.536
236,23.861,11.717
237,24.96,10.652
238,27.178,8.431
239,22.42,8.492
240,18.901,14.052
241,25.901,5.851
242,34.585,14.365
243,26.451,12.224
244,18.252,17.431
245,20.165,9.335
246,29.688,21.984
247,24.678,11.985
248,21.368,10.782
249,26.207,7.345
250,29.659,13.792
251,37.888,11.275
252,14.164,16.613
253,25.54,9.643
254,19.591,8.078
255,24.676,9.091
256,26.268,6.779
257,29.655,9.383
258,30.83,12.289
259,24.312,10.326
260,22.83,4.342
261,17.853,5.335
262,26.536,1.22
263,20.458,6.252
264,30.021,9.434
265,25.658,10.201
266,27.276,6.649
267,17.366,7.693
268,25.965,12.343
269,27.072,5.584
270,17.849,10.423
271,27.751,10.481
272,14.746,18.468
273,23.965,6.836
274,30.268,11.467
275,22.142,8.319
276,23.756,6.737
277,24.545,17.265
278,26.476,2.736
279,31.074,5.353
280,19.936,12.804
281,29.139,11.93
282,33.999,9.348
283,24.091,19.602
284,32.234,16.154
285,31.005,9.049
286,28.85,5.2
287,31.004,13.684
288,23.649,8.239
289,22.643,6.048
290,31.712,14.405
291,23.465,17.166
292,27.688,7.324
293,26.766,7.25
294,22.232,13.056
295,32.767,8.388
296,28.971,8.476
297,25.242,11.208
298,14.485,11.106
299,23.549,5.196
300,22.765,15.059
301,33.55,14.096
302,24.177,14.55
303,21.25,5.99
304,27.695,15.599
305,26.3,5.363
306,27.967,10.649
307,35.681,11.37
308,26.82,5.001
309,32.25,2.359
310,17.518,0.614
311,30.056,10.431
312,30.704,19.16
313,22.918,15.354
314,31.217,2.102
315,16.742,0.479
316,26.28,7.942
317,32.975,9.088
318,21.431,9.935
319,32.302,11.425
320,15.405,16.005
321,18.059,18.062
322,28.556,8.142
323,34.813,4.797
324,28.136,14.449
325,22.359,15.584
326,24.314,10.089
327,31.122,15.082
328,20.863,10.85
329,32.004,5.424
330,25,10.443
331,34.391,14.183
332,21.61,14.176
333,30.758,11.277
334,25.237,13.87
335,28.847,-3.554
336,26.881,19.721
337,32.49,15.602
338,23.831,3.364
339,24.804,6.072
340,28.33,8.864
341,36.997,13.951
342,19.101,7.747
343,28.759,11.122
344,22.983,22.138
345,26.279,5.147
346,28.019,4.043
347,28.581,9.706
348,26.004,8.484
349,23.121,8.141
350,30.594,18.548
351,29.055,7.725
352,20.535,19.616
353,22.58,9.527
354,18.185,3.929
355,25.236,1.357
356,29.456,8.818
357,19.499,19.827
358,18.731,8.909
359,21.267,13.66
360,28.458,16.083
361,14.865,16.574
362,25.83,9.205
363,28.132,9.205
364,29.837,4.14
365,20.611,4.245
366,21.8,4.247
367,29.596,1.7
368,28.093,4.103
369,39.609,1.53
370,23.586,8.319
371,26.112,1.739
372,25.773,12.496
373,23.441,7.423
374,30.57,11.013
375,26.787,13.087
376,32.38,15.506
377,28.257,11.279
378,21.427,14.158
379,25.047,2.066
380,22.478,1.46
381,15.218,8.238
382,20.453,7.89
383,20.708,14.321
384,33.69,5.352
385,37.369,8.192
386,20.718,10.524
387,22.775,9.687
388,21.437,12.757
389,25.096,18.999
390,24.278,11.882
391,27.364,14.191
392,25.092,11.522
393,30.76,5.604
394,22.596,7.238
395,26.663,7.914
396,24.741,7.322
397,33.463,5.068
398,28.361,12.817
399,22.904,-1.292
400,21.691,10.729
401,9.505,-14.053
402,-0.077,-17.647
403,8.958,-11.961
404,7.849,-12.161
405,15.138,-13.855
406,11.612,-10.624
407,5.55,-12.453
408,6.85,-4.047
409,8.49,-6.271
410,7.722,-8.896
411,6.75,-12.293
412,11.106,-14.482
413,17.254,-18.367
414,7.627,-8.054
415,2.854,-14.801
416,9.338,-10.987
417,0.13,-11.719
418,12.884,-9.07
419,13.653,-4.107
420,12.96,-9.828
421,10.174,-11.193
422,9.391,-10.014
423,1.901,0.956
424,5.393,-9.937
425,2.298,-7.789
426,8.286,-9.852
427,-1.097,-1.981
428,15.938,-11.821
429,11.549,-6.939
430,8.479,-18.794
431,7.066,-8.987
432,14.081,-5.58
433,5.047,-13.137
434,12.712,-5.216
435,6.624,-6.629
436,7.463,-10.469
437,5.119,-10.51
438,5.948,-2.793
439,4.891,-17.125
440,8.946,-7.075
441,10.831,-6.636
442,9.726,-9.844
443,11.707,2.102
444,7.116,-5.807
445,7.697,-10.219
446,1.631,-16.693
447,15.507,-4.074
448,12.45,-11.348
449,-0.647,-9.965
450,4.849,-5.227
451,12.827,-8.438
452,-0.823,-14.061
453,5.797,-14.182
454,5.345,-9.365
455,10.169,-12.925
456,13.115,0.423
457,9.39,-17.734
458,6.99,-14.008
459,3.798,-13.328
460,3.823,-14.745
461,11.154,-13.791
462,5.669,-12.205
463,1.551,-8.011
464,6.587,-1.467
465,7.813,-15.86
466,5.045,-13.752
467,3.991,-14.359
468,5.589,-7.33
469,5.013,-7.653
470,2.088,-9.873
471,5.458,-12.03
472,7.013,-9.141
473,-0.097,-14.809
474,10.452,-7.354
475,5.35,-16.273
476,2.028,-11.614
477,9.627,-14.883
478,17.228,-11.149
479,8.152,-16.453
480,2.221,-10.893
481,4.386,-6.887
482,8.168,-1.39
483,19.891,-12.617
484,10.256,-10.641
485,9.369,-12.638
