id,dim1,dim2,cid
301,2.4989,2.3971,1
302,2.2998,2.7139,1
303,4.2408,2.7082,1
304,4.2354,2.416,1
305,3.887,1.5749,1
306,2.6348,2.6471,1
307,3.932,2.3424,1
308,3.5126,2.4171,1
309,2.4929,1.7508,1
310,4.0141,1.8111,1
311,2.8211,1.7838,1
312,2.767,2.0914,1
313,3.341,2.6373,1
314,2.7506,2.7994,1
315,1.6423,2.1026,1
316,3.5327,2.5956,1
317,2.7504,2.6096,1
318,2.7778,2.0961,1
319,3.3907,3.0927,1
320,1.545,2.0607,1
321,2.5923,2.6428,1
322,1.8894,1.0948,1
323,2.4616,2.1052,1
324,2.4773,1.668,1
325,2.5629,2.6353,1
326,3.5745,2.8617,1
327,2.6732,2.269,1
328,3.5655,2.785,1
329,3.1751,2.2869,1
330,4.0004,1.45,1
331,4.4731,1.8137,1
332,2.7459,2.9176,1
333,2.1687,2.4351,1
334,1.8142,2.7247,1
335,3.082,2.4679,1
336,4.6111,1.6096,1
337,3.9787,2.7964,1
338,3.1046,3.0561,1
339,2.5099,3.1686,1
340,2.4269,1.9845,1
341,2.6434,2.7165,1
342,2.9035,2.4327,1
343,4.3832,1.8691,1
344,2.5373,1.8625,1
345,2.2475,1.1222,1
346,3.6241,2.0604,1
347,3.5853,1.5002,1
348,2.6979,2.334,1
349,2.5832,2.3583,1
350,2.568,1.823,1
351,4.1219,2.6947,1
352,2.0736,2.1607,1
353,2.371,0.683,1
354,3.1862,1.5261,1
355,3.7842,1.876,1
356,2.3305,2.1164,1
357,2.9794,1.6435,1
358,3.8089,3.2065,1
359,2.2984,2.2107,1
360,1.7849,2.0765,1
361,3.0106,2.5764,1
362,2.753,3.3848,1
363,3.502,2.2133,1
364,4.6506,1.8059,1
365,2.9941,2.441,1
366,2.9454,2.0367,1
367,2.8588,2.6354,1
368,2.9122,2.2794,1
369,3.4633,2.4923,1
370,2.0657,2.5313,1
371,3.3427,2.4231,1
372,3.0228,2.3892,1
373,2.2946,2.6021,1
374,2.9434,2.5909,1
375,3.0083,2.6843,1
376,3.8737,2.6017,1
377,2.9938,2.035,1
378,1.9433,2.2522,1
379,3.3035,2.2628,1
380,2.1628,1.4677,1
381,4.2146,2.5582,1
382,3.029,2.3377,1
383,2.2455,2.1841,1
384,2.4284,3.4316,1
385,2.4023,1.5593,1
386,2.2576,2.264,1
387,3.1776,2.3108,1
388,3.3478,2.4647,1
389,2.9698,1.8483,1
390,2.1458,2.2195,1
391,2.1927,2.2329,1
392,2.2533,1.5295,1
393,2.28,2.9791,1
394,3.3916,2.8444,1
395,2.875,1.9358,1
396,2.1473,2.6952,1
397,4.4851,2.513,1
398,3.7376,2.0578,1
399,3.1058,2.0593,1
400,3.2892,2.3385,1
401,4.7132,2.3446,1
402,4.389,1.7645,1
403,4.2732,1.9346,1
404,4.0899,2.1894,1
405,3.2964,2.2696,1
406,3.8814,1.676,1
407,4.6938,2.1257,1
408,3.8224,2.7553,1
409,4.2817,1.9618,1
410,2.8764,2.4659,1
411,4.9576,2.7039,1
412,3.1953,3.0905,1
413,4.5227,2.2523,1
414,3.9151,2.7953,1
415,3.6637,2.7422,1
416,4.7126,2.1272,1
417,3.7169,2.2297,1
418,4.3158,1.3962,1
419,4.3123,1.7623,1
420,3.1689,2.4078,1
421,3.8656,1.9915,1
422,3.5717,2.6693,1
423,3.2673,2.0592,1
424,4.8433,3.0183,1
425,4.2416,2.5406,1
426,4.6945,1.8162,1
427,3.2832,2.1036,1
428,4.1507,2.5427,1
429,4.3379,1.9613,1
430,5.2491,2.4986,1
431,4.3131,1.7962,1
432,4.2584,3.6261,1
433,5.0243,2.2177,1
434,4.2956,2.6584,1
435,4.4667,2.7283,1
436,3.8857,1.9139,1
437,4.0543,0.6967,1
438,3.7756,1.7642,1
439,5.0945,1.5397,1
440,4.0481,2.1341,1
441,4.2296,2.1767,1
442,4.629,2.2399,1
443,4.3853,2.1325,1
444,3.6604,2.1745,1
445,4.883,2.3309,1
446,4.0545,2.0313,1
447,4.0279,2.4925,1
448,4.104,2.7328,1
449,3.7985,2.3201,1
450,4.316,2.7781,1
