id,dim1,dim2,cid
1,2.5768,9.0618,0
2,2.3579,6.9804,0
3,2.6763,10.0365,0
4,2.0836,8.953,0
5,2.3881,9.8873,0
6,2.399,8.8879,0
7,2.6412,8.0403,0
8,2.4506,8.485,0
9,2.4379,9.3027,0
10,2.5088,8.5573,0
11,2.2027,8.9585,0
12,2.4997,7.5445,0
13,2.4903,8.2466,0
14,2.572,10.07,0
15,2.537,9.4809,0
16,2.7217,8.6849,0
17,2.353,9.374,0
18,2.4251,8.594,0
19,2.9381,9.1101,0
20,2.5654,9.955,0
21,2.885,8.3289,0
22,2.8757,9.2987,0
23,2.7021,7.3124,0
24,2.3661,8.4641,0
25,2.5327,8.685,0
26,2.5697,9.7412,0
27,2.116,9.5041,0
28,2.563,9.6613,0
29,2.3767,9.9083,0
30,2.3958,8.8109,0
31,2.9981,8.2722,0
32,2.8723,9.0407,0
33,2.2675,9.4834,0
34,2.3432,7.7247,0
35,2.4442,7.6393,0
36,2.5689,7.9858,0
37,2.6088,8.2216,0
38,2.3737,8.5179,0
39,2.3327,8.6005,0
40,2.3841,8.8339,0
41,2.6106,9.627,0
42,2.7396,8.5775,0
43,2.2242,7.9284,0
44,2.4974,9.7596,0
45,2.3301,7.6976,0
46,2.7503,9.1776,0
47,2.1665,9.1623,0
48,2.4354,9.8055,0
49,3.0331,7.9156,2
50,2.8619,7.7786,0
51,2.2834,9.6945,0
52,2.2432,10.0873,0
53,2.2299,8.5547,0
54,2.1684,8.0477,0
55,2.3858,7.9722,0
56,2.1546,7.9745,0
57,2.4697,8.2451,0
58,2.5196,8.7246,0
59,2.8111,8.1889,0
60,2.4559,10.0163,0
61,2.2919,8.113,0
62,2.4668,8.3854,0
63,2.6209,8.8233,0
64,2.0479,8.4329,0
65,2.4169,8.3656,0
66,2.3918,8.6841,0
67,2.5929,7.7651,0
68,2.2356,8.2743,0
69,2.5976,9.0832,0
70,2.3788,9.6753,0
71,2.3831,8.6183,0
72,2.7324,8.4923,0
73,2.0173,8.7018,0
74,3.019,8.0849,2
75,2.8118,7.1934,0
76,1.8604,8.9104,0
77,2.5237,9.3818,0
78,2.0912,8.0467,0
79,1.6934,8.4709,0
80,2.2375,8.9808,0
81,1.894,8.7325,0
82,1.7335,9.3393,0
83,2.0973,8.9272,0
84,1.866,8.0564,0
85,1.8957,8.8203,0
86,2.1973,9.5554,0
87,2.4257,9.5597,0
88,2.0508,7.433,0
89,1.7435,8.993,0
